AgencyName,OrganizationName,PositionTitle,PositionStatus,AppointmentTypeDescription,ExpirationDate,LevelGradePay,Location,IncumbentFirstName,IncumbentLastName,PaymentPlanDescription,Tenure,IncumbentBeginDate,IncumbentVacateDate
ARCTIC RESEARCH COMMISSION,ARCTIC RESEARCH COMMISSION,Commission Member,Filled,PA,02/26/2025 00:00:00,,"Washington, DC",David,Kennedy,PD,,,
ARCTIC RESEARCH COMMISSION,ARCTIC RESEARCH COMMISSION,Commission Member,Filled,PA,02/26/2028 00:00:00,,"Washington, DC",Jacqueline,Richter-Menge,PD,,,
ARCTIC RESEARCH COMMISSION,ARCTIC RESEARCH COMMISSION,Commission Member,Filled,PA,02/26/2028 00:00:00,,"Washington, DC",Elizabeth,Cravalho,PD,,,
ARCTIC RESEARCH COMMISSION,ARCTIC RESEARCH COMMISSION,Commission Member,Filled,PA,07/29/2027 00:00:00,,"Washington, DC",Mark,Myers,PD,,,
ARCTIC RESEARCH COMMISSION,ARCTIC RESEARCH COMMISSION,Commission Member,Filled,PA,02/26/2025 00:00:00,,"Washington, DC",Deborah,Vo,PD,,,
ARMED FORCES RETIREMENT HOME,OFFICE OF THE CHIEF OPERATING OFFICER,CHIEF OPERATING OFFICER,Filled,PA,,,"Washington, DC",JOHN,RISCASSI,EX,,,
ASIAN DEVELOPMENT BANK,ASIAN DEVELOPMENT BANK,DIRECTOR FOR THE UNITED STATES,Filled,PAS,,"$191,900","PHILIPPINES, Philippines",CHANTALE,WONG,OT,,,
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,CHAIR,Filled,PAS,10/13/2017 00:00:00,,"ALEXANDRIA, VA",JOHN,YOPP,WC,6.0,,
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,MEMBER,Filled,PAS,06/05/2012 00:00:00,,"ALEXANDRIA, VA",MARGARET,GOLDWATER-CLAY,WC,6.0,,
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,MEMBER,Filled,PAS,08/11/2016 00:00:00,,"ALEXANDRIA, VA",STEWART,DESOTO,WC,6.0,,
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,MEMBER,Filled,PAS,10/13/2017 00:00:00,,"ALEXANDRIA, VA",CHARLES,KORSMO,WC,6.0,,
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,MEMBER,Vacant,PAS,,,"ALEXANDRIA, VA",,,WC,6.0,,
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,MEMBER,Filled,PAS,,,"ALEXANDRIA, VA",DENNIS,DECONCINI,WC,6.0,12/18/2021 12:00:00 AM,3/15/2025 12:00:00 AM
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,MEMBER,Filled,PAS,03/03/2028 00:00:00,,"ALEXANDRIA, VA",JOSEPH,GREEN,WC,6.0,,
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,MEMBER,Vacant,PAS,,,"ALEXANDRIA, VA",,,WC,6.0,,
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,PRESIDENT/EXECUTIVE SECRETARY,Filled,NA,,"$177,791","ALEXANDRIA, VA",JOHN,MATEJA,ES,,,
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,VICE CHAIR,Filled,PAS,02/04/2014 00:00:00,,"Washington, DC",MARIA,RENGIFO-RUESS,WC,6.0,,
CENTRAL INTELLIGENCE AGENCY,OFFICE OF THE DIRECTOR,"DEPUTY DIRECTOR, CENTRAL INTELLIGENCE AGENCY",Filled,PAS,,III,"Washington, DC",DAVID,COHEN,EX,,,
CENTRAL INTELLIGENCE AGENCY,OFFICE OF THE DIRECTOR,"DIRECTOR, CENTRAL INTELLIGENCE AGENCY",Filled,PAS,,II,"Washington, DC",WILLIAM,BURNS,EX,,,
CENTRAL INTELLIGENCE AGENCY,OFFICE OF THE DIRECTOR,GENERAL COUNSEL,Filled,PAS,,IV,"Washington, DC",KATE,HEINZELMAN,EX,,,
CENTRAL INTELLIGENCE AGENCY,OFFICE OF THE DIRECTOR,STATUTORY INSPECTOR GENERAL,Filled,PAS,,IV,"Washington, DC",ROBIN,ASHTON,EX,,,
CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,BOARD CHAIRPERSON,Filled,PAS,01/15/2028 00:00:00,IV,"Washington, DC",STEPHEN,OWENS,EX,,,
CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,BOARD MEMBER,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,BOARD MEMBER,Filled,PAS,02/03/2027 00:00:00,IV,"Washington, DC",SYLVIA,JOHNSON,EX,,,
CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,BOARD MEMBER,Filled,PAS,02/02/2028 00:00:00,IV,"Washington, DC",CATHERINE,KISSEE-SANDOVAL,EX,,,
CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,"EXECUTIVE DIRECTOR, OFFICE OF INVESTIGATIONS AND RECOMMENDATIONS",Filled,CA,,"$182,316","Washington, DC",STEPHEN,KLEJST,ES,,,
CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,GENERAL COUNSEL,Vacant,CA,,,"Washington, DC",,,ES,,,
CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,MANAGING DIRECTOR,Vacant,CA,,,"Washington, DC",,,ES,,,
COMMISSION OF FINE ARTS,COMMISSION OF FINE ARTS,CHAIRMAN,Filled,PA,,,"Washington, DC",BILLIE,TSIEN,WC,4.0,,
COMMISSION OF FINE ARTS,COMMISSION OF FINE ARTS,MEMBER,Filled,PA,,,"Washington, DC",JUSTIN,MOORE,WC,4.0,,
COMMISSION OF FINE ARTS,COMMISSION OF FINE ARTS,MEMBER,Filled,PA,,,"Washington, DC",PETER,COOK,WC,4.0,,
COMMISSION OF FINE ARTS,COMMISSION OF FINE ARTS,MEMBER,Filled,PA,,,"Washington, DC",LISA,DELPLACE,WC,4.0,,
COMMISSION OF FINE ARTS,COMMISSION OF FINE ARTS,MEMBER,Vacant,PA,,,"Washington, DC",,,WC,4.0,,
COMMISSION OF FINE ARTS,COMMISSION OF FINE ARTS,MEMBER,Vacant,PA,,,"Washington, DC",,,WC,4.0,,
COMMISSION OF FINE ARTS,COMMISSION OF FINE ARTS,VICE CHAIR,Filled,PA,,,"Washington, DC",HAZEL,EDWARDS,WC,4.0,,
COMMISSION OF FINE ARTS,OFFICE OF THE SECRETARY,SECRETARY TO THE COMMISSION,Filled,CA,,"$112,000","Washington, DC",THOMAS,LUEBKE,ES,,,
COMMODITY FUTURES TRADING COMMISSION,COMMODITY FUTURES TRADING COMMISSION,CHIEF OF STAFF,Vacant,SC,,,"NEW YORK NEW YORK, NY",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,COMMODITY FUTURES TRADING COMMISSION,CHIEF OF STAFF,Filled,SC,,,"NEW YORK NEW YORK, NY",HARRY,JUNG,OT,,3/23/2025 12:00:00 AM,6/28/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,DIVISION OF CLEARING AND RISK,DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF PUBLIC AFFAIRS,DEPUTY DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF PUBLIC AFFAIRS,DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF PUBLIC AFFAIRS,DIRECTOR,Filled,SC,,,"Washington, DC",STEVEN,ADAMSKE,OT,,1/3/2022 12:00:00 AM,2/8/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF PUBLIC AFFAIRS,PUBLIC AFFAIRS SPECIALIST,Filled,SC,,"$230,000","Washington, DC",STEVEN,ADAMSKE,OT,,2/9/2025 12:00:00 AM,5/31/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF PUBLIC AFFAIRS,PUBLIC AFFAIRS SPECIALIST,Filled,SC,,"$289,400","Washington, DC",TAYLOR,FOY,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,CHAIRPERSON,Filled,PAS,,III,"Washington, DC",CAROLINE,PHAM,EX,5.0,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,COMMISSIONER,Vacant,PAS,,IV,"Washington, DC",,,EX,5.0,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,COMMISSIONER,Filled,PAS,,IV,"Washington, DC",ROSTIN,BEHNAM,EX,5.0,1/20/2025 12:00:00 AM,2/7/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,COMMISSIONER,Vacant,PAS,,IV,"Washington, DC",,,EX,5.0,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,COMMISSIONER,Filled,PAS,,IV,"Washington, DC",CHRISTY,GOLDSMITH ROMERO,EX,5.0,3/30/2022 12:00:00 AM,5/31/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,COMMISSIONER,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,COMMISSIONER,Filled,PAS,,IV,"Washington, DC",SUMMER,MERSINGER,EX,,3/30/2022 12:00:00 AM,5/31/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,COMMISSIONER,Filled,PAS,,IV,"Washington, DC",KRISTIN,JOHNSON,EX,5.0,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,CONFIDENTIAL ASSISTANT,Filled,SC,,"$207,654","Washington, DC",NICHOLAS,ELLIOT,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,CONFIDENTIAL ASSISTANT,Filled,SC,,"$207,654","Washington, DC",NICHOLAS,ELLIOT,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,CONFIDENTIAL ASSISTANT,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,CONFIDENTIAL ASSISTANT,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,CONFIDENTIAL ASSISTANT,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,CONFIDENTIAL ASSISTANT,Filled,SC,,,"Washington, DC",TIMOTHY,ACHINGER,OT,,12/31/2023 12:00:00 AM,3/28/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,CONFIDENTIAL ASSISTANT,Filled,SC,,,"Washington, DC",JANET,SCHMAUTZ,OT,,5/4/2025 12:00:00 AM,5/31/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,DIRECTOR OF LEGISLATIVE AND INTERGOVERNMENTAL AFFAIRS,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,DIRECTOR OF PUBLIC AFFAIRS,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,DIRECTOR OF PUBLIC AFFAIRS,Filled,SC,,,"Washington, DC",TAYLOR,FOY,OT,,3/23/2025 12:00:00 AM,6/28/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,EXECUTIVE ASSISTANT,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,SENIOR ADVISOR,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,SENIOR ADVISOR,Filled,SC,,,"Washington, DC",TAYLOR,FOY,OT,,1/28/2024 12:00:00 AM,3/22/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,SENIOR ADVISOR,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,SENIOR ADVISOR,Filled,SC,,,"Washington, DC",NICHOLAS,ELLIOT,OT,,2/3/2025 12:00:00 AM,6/28/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,SENIOR ADVISOR,Filled,SC,,"$289,400","NEW YORK NEW YORK, NY",HARRY,JUNG,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,SENIOR ADVISOR,Vacant,SC,,,"Washington, DC",,,OT,,,
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHAIRPERSON,SENIOR ADVISOR,Filled,SC,,,"Washington, DC",NITA,SOMASUNDARAM,OT,,9/8/2024 12:00:00 AM,2/21/2025 12:00:00 AM
COMMODITY FUTURES TRADING COMMISSION,OFFICE OF THE CHIEF ECONOMIST,CHIEF ECONOMIST,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTION BUREAU,"ASSOCIATE DIRECTOR, EXTERNAL AFFAIRS",Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTION BUREAU,"ASSOCIATE DIRECTOR, EXTERNAL AFFAIRS",Filled,SC,,,"Washington, DC",ANGELA,HANKS,OT,,11/27/2023 12:00:00 AM,2/3/2025 12:00:00 AM
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTION BUREAU,"ASSOCIATE DIRECTOR, RESEARCH, MONITORING, AND REGULATIONS",Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTION BUREAU,"ASSOCIATE DIRECTOR, RESEARCH, MONITORING, AND REGULATIONS",Filled,SC,,,"Washington, DC","JULIE ",MORGAN,OT,,12/31/2023 12:00:00 AM,1/21/2025 12:00:00 AM
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTION BUREAU,EXECUTIVE SECRETARY AND SENIOR ADVISOR TO THE DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTION BUREAU,POLICY ASSOC DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTION BUREAU,SENIOR ADVISOR TO THE DIRECTOR (POLICY PLANNING AND PRIORITIZATION),Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,ADMINISTRATIVE SPECIALIST,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,ADMINISTRATIVE SPECIALIST,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,ASSISTANT DIRECTOR OFFICE OF COMMUNICATIONS,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,ASSISTANT DIRECTOR OFFICE OF INNOVATION,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,"ASSISTANT DIRECTOR, POLICY PLANNING & STRATEGY",Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,ASSOCIATE DIRECTOR OFFICE OF EQUAL OPPORTUNITY AND FAIRNESS,Vacant,SC,,,"Washington, DC",,,OT,,,
